#Xaxis_A2  YlengthA2  discharge_A2  dischargeEFF_A2  dischargeINEFF_A2  rech_Moulin_A2  rech_meltR_A2  P_A2
84.5312    20000      0.498999      9.01244e-05      0.498909           0.496875        0.00193279     3.68417
84.8438    20000      0.489006      8.73169e-05      0.488919           0.486937        0.00188271     3.68991
85.1562    20000      0.479015      8.45577e-05      0.47893            0.477           0.0018332      3.69575
85.4688    20000      0.469023      8.18465e-05      0.468941           0.467062        0.00178425     3.70171
85.7812    20000      0.459033      7.91829e-05      0.458953           0.457125        0.00173586     3.70778
86.0938    20000      0.449042      7.65665e-05      0.448966           0.447187        0.00168802     3.71397
86.4062    20000      0.439053      7.3997e-05       0.438979           0.43725         0.00164073     3.72028
86.7188    20000      0.429064      7.1474e-05       0.428993           0.427312        0.00159398     3.72672
87.0312    20000      0.419076      6.89971e-05      0.419007           0.417375        0.00154777     3.73329
87.3438    20000      0.409088      6.6566e-05       0.409022           0.407437        0.00150209     3.73999
87.6562    20000      0.399101      6.41803e-05      0.399037           0.3975          0.00145695     3.74684
87.9688    20000      0.389115      6.18396e-05      0.389053           0.387562        0.00141233     3.75383
88.2812    20000      0.379129      5.95436e-05      0.379069           0.377625        0.00136823     3.76096
88.5938    20000      0.369143      5.72919e-05      0.369086           0.367687        0.00132464     3.76826
88.9062    20000      0.359158      5.5084e-05       0.359103           0.35775         0.00128157     3.77572
89.2188    20000      0.349174      5.29196e-05      0.349121           0.347812        0.001239       3.78334
89.5312    20000      0.33919       5.07984e-05      0.33914            0.337875        0.00119693     3.79114
89.8438    20000      0.329207      4.87198e-05      0.329158           0.327937        0.00115535     3.79912
90.1562    20000      0.319224      4.66835e-05      0.319178           0.318           0.00111426     3.80729
90.4688    20000      0.309242      4.46891e-05      0.309198           0.308062        0.00107365     3.81566
90.7812    20000      0.299261      4.27362e-05      0.299218           0.298125        0.00103351     3.82424
91.0938    20000      0.28928       4.08242e-05      0.289239           0.288187        0.000993845    3.83303
91.4062    20000      0.279299      3.89528e-05      0.27926            0.27825         0.000954641    3.84204
91.7188    20000      0.269319      3.71215e-05      0.269282           0.268312        0.000915892    3.85129
92.0312    20000      0.259339      3.53297e-05      0.259304           0.258375        0.000877591    3.86078
92.3438    20000      0.24936       3.35771e-05      0.249327           0.248437        0.00083973     3.87053
92.6562    20000      0.239382      3.18631e-05      0.23935            0.2385          0.000802301    3.88055
92.9688    20000      0.229403      3.0187e-05       0.229373           0.228562        0.000765295    3.89086
93.2812    20000      0.219426      2.85485e-05      0.219397           0.218625        0.000728704    3.90146
93.5938    20000      0.209449      2.69468e-05      0.209422           0.208687        0.000692518    3.91238
93.9062    20000      0.199472      2.53813e-05      0.199446           0.19875         0.000656729    3.92363
94.2188    20000      0.189495      2.38514e-05      0.189471           0.188812        0.000621324    3.93522
94.5312    20000      0.179519      2.23563e-05      0.179497           0.178875        0.000586293    3.94719
94.8438    20000      0.169544      2.08952e-05      0.169523           0.168937        0.000551625    3.95955
95.1562    20000      0.159568      1.94674e-05      0.159549           0.159           0.000517306    3.97232
95.4688    20000      0.149594      1.8072e-05       0.149576           0.149062        0.000483324    3.98553
95.7812    20000      0.139619      1.67079e-05      0.139602           0.139125        0.000449663    3.99921
96.0938    20000      0.129645      1.53742e-05      0.12963            0.129188        0.000416308    4.01339
96.4062    20000      0.119671      1.40695e-05      0.119657           0.11925         0.000383242    4.02811
96.7188    20000      0.109698      1.27928e-05      0.109685           0.109313        0.000350446    4.04339
97.0312    20000      0.0997243     1.15425e-05      0.0997128          0.099375        0.000317901    4.05928
97.3438    20000      0.0897513     1.0317e-05       0.089741           0.0894375       0.000285585    4.07584
97.6562    20000      0.0797785     9.11455e-06      0.0797694          0.0795          0.000253473    4.0931
97.9688    20000      0.0698059     7.9331e-06       0.069798           0.0695625       0.000221539    4.11113
98.2812    20000      0.0598335     6.77032e-06      0.0598267          0.059625        0.000189753    4.12999
98.5938    20000      0.0498612     5.62354e-06      0.0498556          0.0496875       0.000158083    4.14976
98.9062    20000      0.039889      4.48965e-06      0.0398845          0.03975         0.000126492    4.17051
99.2188    20000      0.0299168     3.36504e-06      0.0299135          0.0298125       9.49384e-05    4.19235
99.5312    20000      0.0199446     2.24545e-06      0.0199424          0.019875        6.33754e-05    4.21537
99.8438    20000      0.00997239    1.1258e-06       0.00997126         0.0099375       3.17497e-05    4.23972
