#Xaxis_A5  YlengthA5  discharge_A5  dischargeEFF_A5  dischargeINEFF_A5  rech_Moulins_A5  rech_meltR_A5  P_A5
71.7188    20000      25.6565       0.140252         25.5163            25.5938          0.0571419      2.24509
72.0312    20000      25.3737       0.136668         25.2371            25.3125          0.055717       2.24833
72.3438    20000      25.0909       0.13314          24.9578            25.0312          0.0543128      2.2516
72.6562    20000      24.8082       0.129667         24.6785            24.75            0.0529291      2.25491
72.9688    20000      24.5254       0.12625          24.3992            24.4688          0.0515658      2.25826
73.2812    20000      24.2427       0.122887         24.1198            24.1875          0.0502229      2.26165
73.5938    20000      23.96         0.119579         23.8404            23.9062          0.0489002      2.26508
73.9062    20000      23.6773       0.116324         23.561             23.625           0.0475977      2.26855
74.2188    20000      23.3946       0.113124         23.2815            23.3438          0.0463152      2.27206
74.5312    20000      23.112        0.109976         23.002             23.0625          0.0450527      2.27561
74.8438    20000      22.8294       0.106881         22.7225            22.7812          0.0438101      2.2792
75.1562    20000      22.5468       0.103839         22.443             22.5             0.0425872      2.28284
75.4688    20000      22.2642       0.100849         22.1634            22.2188          0.0413839      2.28653
75.7812    20000      21.9817       0.0979101        21.8838            21.9375          0.0402003      2.29025
76.0938    20000      21.6991       0.0950226        21.6041            21.6562          0.0390361      2.29403
76.4062    20000      21.4166       0.0921859        21.3245            21.375           0.0378913      2.29785
76.7188    20000      21.1342       0.0893998        21.0448            21.0938          0.0367658      2.30172
77.0312    20000      20.8517       0.0866638        20.765             20.8125          0.0356595      2.30564
77.3438    20000      20.5692       0.0839776        20.4853            20.5312          0.0345722      2.30962
77.6562    20000      20.2868       0.0813408        20.2055            20.25            0.033504       2.31364
77.9688    20000      20.0044       0.078753         19.9257            19.9688          0.0324548      2.31771
78.2812    20000      19.722        0.0762139        19.6458            19.6875          0.0314243      2.32184
78.5938    20000      19.4397       0.0737232        19.3659            19.4062          0.0304126      2.32603
78.9062    20000      19.1573       0.0712805        19.086             19.125           0.0294195      2.33027
79.2188    20000      18.875        0.0688854        18.8061            18.8438          0.028445       2.33457
79.5312    20000      18.5927       0.0665376        18.5262            18.5625          0.0274889      2.33892
79.8438    20000      18.3104       0.0642369        18.2462            18.2812          0.0265512      2.34334
80.1562    20000      18.0282       0.0619827        17.9662            18               0.0256318      2.34782
80.4688    20000      17.7459       0.0597749        17.6862            17.7188          0.0247306      2.35236
80.7812    20000      17.4637       0.057613         17.4061            17.4375          0.0238475      2.35697
81.0938    20000      17.1815       0.0554968        17.126             17.1562          0.0229825      2.36164
81.4062    20000      16.8993       0.053426         16.8459            16.875           0.0221353      2.36639
81.7188    20000      16.6172       0.0514001        16.5658            16.5938          0.021306       2.3712
82.0312    20000      16.335        0.049419         16.2856            16.3125          0.0204944      2.37608
82.3438    20000      16.0529       0.0474822        16.0054            16.0312          0.0197005      2.38104
82.6562    20000      15.7708       0.0455895        15.7252            15.75            0.0189242      2.38607
82.9688    20000      15.4887       0.0437405        15.445             15.4688          0.0181654      2.39118
83.2812    20000      15.2066       0.041935         15.1647            15.1875          0.0174239      2.39638
83.5938    20000      14.9246       0.0401725        14.8844            14.9062          0.0166997      2.40165
83.9062    20000      14.6426       0.038453         14.6041            14.625           0.0159928      2.40701
84.2188    20000      14.3606       0.0367759        14.3238            14.3438          0.015303       2.41245
84.5312    20000      14.0786       0.035141         14.0434            14.0625          0.0146302      2.41799
84.8438    20000      13.7966       0.0335481        13.7631            13.7812          0.0139743      2.42362
85.1562    20000      13.5147       0.0319968        13.4827            13.5             0.0133353      2.42934
85.4688    20000      13.2327       0.0304868        13.2022            13.2188          0.0127131      2.43517
85.7812    20000      12.9508       0.0290178        12.9218            12.9375          0.0121075      2.44109
86.0938    20000      12.6689       0.0275896        12.6413            12.6562          0.0115185      2.44712
86.4062    20000      12.387        0.0262018        12.3608            12.375           0.0109459      2.45326
86.7188    20000      12.1052       0.0248541        12.0803            12.0938          0.0103898      2.45951
87.0312    20000      11.8233       0.0235463        11.7998            11.8125          0.00984989     2.46588
87.3438    20000      11.5415       0.022278         11.5192            11.5312          0.0093262      2.47236
87.6562    20000      11.2597       0.021049         11.2386            11.25            0.00881859     2.47898
87.9688    20000      10.9779       0.019859         10.958             10.9688          0.00832696     2.48572
88.2812    20000      10.6961       0.0187076        10.6774            10.6875          0.00785122     2.49259
88.5938    20000      10.4144       0.0175946        10.3968            10.4062          0.00739125     2.49961
88.9062    20000      10.1326       0.0165197        10.1161            10.125           0.00694696     2.50677
89.2188    20000      9.85091       0.0154826        9.83543            9.84375          0.00651823     2.51408
89.5312    20000      9.56921       0.014483         9.55473            9.5625           0.00610496     2.52154
89.8438    20000      9.28752       0.0135206        9.274              9.28125          0.00570703     2.52917
90.1562    20000      9.00585       0.0125951        8.99326            9                0.00532432     2.53697
90.4688    20000      8.7242        0.0117062        8.71249            8.71875          0.00495672     2.54495
90.7812    20000      8.44256       0.0108536        8.43171            8.4375           0.0046041      2.55311
91.0938    20000      8.16094       0.010037         8.1509             8.15625          0.00426634     2.56147
